from,to,Mean (data),Std (data),Mean (ref.),Std (ref.),Error
L4_NGC,L23_BTC,15.0,2.94,,,
L4_NGC,L23_DBC,5.25,1.48,,,
L4_NGC,L23_LBC,16.4,7.77,,,
L4_NGC,L23_MC,15.3,9.63,,,
L4_NGC,L23_NBC,14.2,6.07,,,
L4_NGC,L23_SBC,16.7,13.4,,,
L4_NGC,L2_IPC,7.67,1.25,,,
L4_NGC,L2_TPC:B,1.0,0.0,,,
L4_NGC,L3_TPC:A,17.4,9.66,,,
L4_NGC,L3_TPC:C,15.8,7.09,,,
L4_NGC,L4_BP,18.6,8.33,,,
L4_NGC,L4_BTC,14.7,3.93,,,
L4_NGC,L4_CHC,20.0,0.0,,,
L4_NGC,L4_DBC,7.0,0.0,,,
L4_NGC,L4_LBC,19.3,10.7,,,
L4_NGC,L4_MC,22.0,10.6,,,
L4_NGC,L4_NBC,18.0,6.12,,,
L4_NGC,L4_NGC,12.0,0.0,,,
L4_NGC,L4_SBC,23.8,11.9,,,
L4_NGC,L4_SSC,18.7,7.46,,,
L4_NGC,L4_TPC,20.8,8.75,,,
L4_NGC,L4_UPC,20.1,9.8,,,
L4_NGC,L5_BP,2.5,1.0,,,
L4_NGC,L5_BTC,18.1,15.7,,,
L4_NGC,L5_CHC,24.0,0.0,,,
L4_NGC,L5_DBC,8.2,3.19,,,
L4_NGC,L5_LBC,13.6,5.71,,,
L4_NGC,L5_MC,12.9,5.19,,,
L4_NGC,L5_NBC,17.3,12.3,,,
L4_NGC,L5_SBC,15.6,5.5,,,
L4_NGC,L5_TPC:A,18.8,7.21,,,
L4_NGC,L5_TPC:B,22.3,11.9,,,
L4_NGC,L5_TPC:C,17.6,8.66,,,
L4_NGC,L5_UPC,18.0,8.93,,,
L4_NGC,L6_BPC,9.97,4.18,,,
L4_NGC,L6_DBC,3.0,0.0,,,
L4_NGC,L6_HPC,5.0,3.21,,,
L4_NGC,L6_LBC,4.0,0.7070000000000001,,,
L4_NGC,L6_NBC,14.5,0.5,,,
L4_NGC,L6_TPC:A,11.6,4.6,,,
L4_NGC,L6_TPC:C,11.5,4.82,,,
L4_NGC,L6_UPC,8.2,2.84,,,
L4_SBC,L1_DAC,1.0,0.0,,,
L4_SBC,L1_HAC,1.0,0.0,,,
L4_SBC,L1_NGC-DA,1.0,0.0,,,
L4_SBC,L1_NGC-SA,1.0,0.0,,,
L4_SBC,L1_SAC,6.0,0.0,,,
L4_SBC,L23_BP,1.0,0.0,,,
L4_SBC,L23_BTC,13.6,5.88,,,
L4_SBC,L23_DBC,5.17,1.77,,,
L4_SBC,L23_LBC,15.7,7.85,,,
L4_SBC,L23_MC,14.7,5.7,,,
L4_SBC,L23_NBC,14.7,8.18,,,
L4_SBC,L23_NGC,10.5,2.06,,,
L4_SBC,L23_SBC,14.0,5.85,,,
L4_SBC,L2_IPC,7.14,2.87,,,
L4_SBC,L2_TPC:A,3.27,0.68,,,
L4_SBC,L2_TPC:B,5.06,2.45,,,
L4_SBC,L3_TPC:A,17.6,9.84,,,
L4_SBC,L3_TPC:C,17.5,8.01,,,
L4_SBC,L4_BP,11.5,0.5,,,
L4_SBC,L4_BTC,17.1,5.87,,,
L4_SBC,L4_DBC,15.0,2.1,,,
L4_SBC,L4_LBC,13.5,6.52,12.33,5.558,19.374068554396423
L4_SBC,L4_MC,18.9,9.45,,,
L4_SBC,L4_NBC,23.8,18.8,,,
L4_SBC,L4_NGC,17.0,0.0,,,
L4_SBC,L4_SBC,14.8,6.92,12.33,5.558,39.58967783298606
L4_SBC,L4_SSC,20.0,8.76,,,
L4_SBC,L4_TPC,25.1,12.3,20.5,10.5,40.350877192982466
L4_SBC,L4_UPC,19.4,7.58,,,
L4_SBC,L5_BP,1.0,0.0,,,
L4_SBC,L5_BTC,11.7,4.19,,,
L4_SBC,L5_CHC,8.0,0.0,,,
L4_SBC,L5_DBC,5.08,1.61,,,
L4_SBC,L5_LBC,12.2,6.06,,,
L4_SBC,L5_MC,12.6,6.22,,,
L4_SBC,L5_NBC,13.4,5.23,,,
L4_SBC,L5_NGC,4.5,0.5,,,
L4_SBC,L5_SBC,11.7,5.45,,,
L4_SBC,L5_TPC:A,18.0,8.9,,,
L4_SBC,L5_TPC:B,18.7,8.75,,,
L4_SBC,L5_TPC:C,16.6,7.49,,,
L4_SBC,L5_UPC,14.7,5.05,,,
L4_SBC,L6_BPC,8.81,2.87,,,
L4_SBC,L6_DBC,1.0,0.0,,,
L4_SBC,L6_HPC,2.31,1.3,,,
L4_SBC,L6_IPC,1.11,0.314,,,
L4_SBC,L6_LBC,5.22,1.87,,,
L4_SBC,L6_MC,9.5,3.28,,,
L4_SBC,L6_NBC,7.25,1.64,,,
L4_SBC,L6_TPC:A,9.75,4.08,,,
L4_SBC,L6_TPC:C,10.6,4.62,,,
L4_SBC,L6_UPC,5.79,1.8,,,
L4_SSC,L1_DAC,1.11,0.397,,,
L4_SSC,L1_HAC,1.09,0.319,,,
L4_SSC,L1_LAC,1.11,0.445,,,
L4_SSC,L1_NGC-DA,1.09,0.28600000000000003,,,
L4_SSC,L1_NGC-SA,1.03,0.171,,,
L4_SSC,L1_SAC,1.12,0.382,,,
L4_SSC,L23_BP,1.12,0.382,,,
L4_SSC,L23_BTC,3.83,1.3,,,
L4_SSC,L23_CHC,4.43,2.84,,,
L4_SSC,L23_DBC,1.16,0.484,,,
L4_SSC,L23_LBC,4.21,1.59,,,
L4_SSC,L23_MC,5.49,2.83,,,
L4_SSC,L23_NBC,4.34,2.06,,,
L4_SSC,L23_NGC,1.08,0.271,,,
L4_SSC,L23_SBC,4.51,1.85,,,
L4_SSC,L2_IPC,2.72,1.13,,,
L4_SSC,L2_TPC:A,4.42,1.04,4.538,0.4985,-15.339616509587303
L4_SSC,L2_TPC:B,4.84,1.61,4.538,0.4985,28.645956841356373
L4_SSC,L3_TPC:A,4.66,1.63,4.538,0.4985,11.463471928588199
L4_SSC,L3_TPC:C,4.88,2.03,4.538,0.4985,27.051611627447073
L4_SSC,L4_BP,6.52,2.69,,,
L4_SSC,L4_BTC,7.49,2.55,,,
L4_SSC,L4_CHC,8.2,2.47,,,
L4_SSC,L4_DBC,3.48,1.37,,,
L4_SSC,L4_LBC,8.67,2.88,,,
L4_SSC,L4_MC,9.71,4.34,,,
L4_SSC,L4_NBC,9.77,4.1,,,
L4_SSC,L4_NGC,4.71,1.64,,,
L4_SSC,L4_SBC,8.56,2.71,,,
L4_SSC,L4_SSC,4.41,2.1,,,
L4_SSC,L4_TPC,5.17,2.15,,,
L4_SSC,L4_UPC,4.14,1.61,,,
L4_SSC,L5_BP,1.06,0.237,,,
L4_SSC,L5_BTC,6.77,2.88,,,
L4_SSC,L5_CHC,6.47,3.07,,,
L4_SSC,L5_DBC,1.23,0.563,,,
L4_SSC,L5_LBC,6.9,3.08,,,
L4_SSC,L5_MC,5.66,2.2,,,
L4_SSC,L5_NBC,5.9,2.14,,,
L4_SSC,L5_NGC,1.67,0.7879999999999999,,,
L4_SSC,L5_SBC,6.0,2.93,,,
L4_SSC,L5_TPC:A,5.95,2.46,,,
L4_SSC,L5_TPC:B,5.47,2.26,,,
L4_SSC,L5_TPC:C,5.05,2.34,,,
L4_SSC,L5_UPC,4.34,1.98,,,
L4_SSC,L6_BP,1.08,0.306,,,
L4_SSC,L6_BPC,2.79,1.18,,,
L4_SSC,L6_BTC,1.12,0.382,,,
L4_SSC,L6_CHC,1.11,0.34299999999999997,,,
L4_SSC,L6_DBC,1.07,0.255,,,
L4_SSC,L6_HPC,2.66,1.02,,,
L4_SSC,L6_IPC,2.83,1.32,,,
L4_SSC,L6_LBC,1.1,0.332,,,
L4_SSC,L6_MC,1.12,0.354,,,
L4_SSC,L6_NBC,1.18,0.536,,,
L4_SSC,L6_NGC,1.13,0.365,,,
L4_SSC,L6_SBC,1.1,0.361,,,
L4_SSC,L6_TPC:A,3.39,1.62,,,
L4_SSC,L6_TPC:C,3.63,1.72,,,
L4_SSC,L6_UPC,2.98,1.68,,,
L4_TPC,L1_DAC,1.12,0.382,,,
L4_TPC,L1_HAC,1.13,0.336,,,
L4_TPC,L1_LAC,1.15,0.384,,,
L4_TPC,L1_NGC-DA,1.1,0.41200000000000003,,,
L4_TPC,L1_NGC-SA,1.12,0.382,,,
L4_TPC,L1_SAC,1.13,0.56,,,
L4_TPC,L23_BP,1.17,0.47,,,
L4_TPC,L23_BTC,2.48,1.08,,,
L4_TPC,L23_CHC,1.11,0.313,,,
L4_TPC,L23_DBC,1.14,0.375,,,
L4_TPC,L23_LBC,3.28,1.79,,,
L4_TPC,L23_MC,2.59,0.895,,,
L4_TPC,L23_NBC,2.5,0.985,,,
L4_TPC,L23_NGC,1.12,0.45299999999999996,,,
L4_TPC,L23_SBC,1.11,0.34299999999999997,,,
L4_TPC,L2_IPC,2.63,1.01,,,
L4_TPC,L2_TPC:A,2.82,1.28,,,
L4_TPC,L2_TPC:B,2.95,1.45,,,
L4_TPC,L3_TPC:A,3.16,1.24,,,
L4_TPC,L3_TPC:C,3.07,1.51,,,
L4_TPC,L4_BP,4.79,2.11,,,
L4_TPC,L4_BTC,6.3,3.68,,,
L4_TPC,L4_CHC,4.24,1.88,3.5,1.5,43.78698224852073
L4_TPC,L4_DBC,1.7,0.8540000000000001,,,
L4_TPC,L4_LBC,8.27,2.83,7.1,3.1,39.46037099494098
L4_TPC,L4_MC,8.05,3.86,,,
L4_TPC,L4_NBC,4.02,1.78,3.4,1.5,37.804878048780466
L4_TPC,L4_NGC,3.04,1.35,,,
L4_TPC,L4_SBC,3.21,1.52,3.0,1.0,16.666666666666664
L4_TPC,L4_SSC,3.93,1.61,,,
L4_TPC,L4_TPC,3.56,1.5,,,
L4_TPC,L4_UPC,3.91,1.75,,,
L4_TPC,L5_BP,1.13,0.439,,,
L4_TPC,L5_BTC,7.58,3.59,,,
L4_TPC,L5_CHC,5.56,4.03,,,
L4_TPC,L5_DBC,1.14,0.53,,,
L4_TPC,L5_LBC,2.26,0.9009999999999999,,,
L4_TPC,L5_MC,6.25,3.27,,,
L4_TPC,L5_NBC,5.76,2.62,,,
L4_TPC,L5_NGC,1.12,0.382,,,
L4_TPC,L5_SBC,6.84,3.53,,,
L4_TPC,L5_TPC:A,5.64,2.88,,,
L4_TPC,L5_TPC:B,4.74,2.18,,,
L4_TPC,L5_TPC:C,4.04,1.71,,,
L4_TPC,L5_UPC,4.14,1.97,,,
L4_TPC,L6_BP,1.09,0.319,,,
L4_TPC,L6_BPC,2.79,1.34,,,
L4_TPC,L6_BTC,1.11,0.371,,,
L4_TPC,L6_CHC,1.21,0.45399999999999996,,,
L4_TPC,L6_DBC,1.13,0.462,,,
L4_TPC,L6_HPC,2.57,1.12,,,
L4_TPC,L6_IPC,2.52,0.9640000000000001,,,
L4_TPC,L6_LBC,1.1,0.332,,,
L4_TPC,L6_MC,2.38,0.858,,,
L4_TPC,L6_NBC,1.07,0.354,,,
L4_TPC,L6_NGC,1.09,0.28600000000000003,,,
L4_TPC,L6_SBC,1.15,0.409,,,
L4_TPC,L6_TPC:A,2.64,1.14,,,
L4_TPC,L6_TPC:C,3.4,1.97,,,
L4_TPC,L6_UPC,2.48,1.01,,,
L4_UPC,L1_DAC,2.42,0.79,,,
L4_UPC,L1_HAC,2.7,1.14,,,
L4_UPC,L1_LAC,3.58,1.66,,,
L4_UPC,L1_NGC-DA,4.37,1.82,,,
L4_UPC,L1_NGC-SA,4.34,1.66,,,
L4_UPC,L1_SAC,2.56,1.02,,,
L4_UPC,L23_BP,1.04,0.196,,,
L4_UPC,L23_BTC,5.55,2.7,,,
L4_UPC,L23_CHC,5.53,2.26,,,
L4_UPC,L23_DBC,1.11,0.313,,,
L4_UPC,L23_LBC,6.48,3.23,,,
L4_UPC,L23_MC,5.61,2.2,,,
L4_UPC,L23_NBC,5.64,2.25,,,
L4_UPC,L23_NGC,1.16,0.504,,,
L4_UPC,L23_SBC,4.97,1.6,,,
L4_UPC,L2_IPC,3.89,1.49,,,
L4_UPC,L2_TPC:A,3.48,1.53,,,
L4_UPC,L2_TPC:B,3.91,1.49,,,
L4_UPC,L3_TPC:A,3.58,1.31,,,
L4_UPC,L3_TPC:C,3.84,1.52,,,
L4_UPC,L4_BP,6.65,3.4,,,
L4_UPC,L4_BTC,7.86,2.74,,,
L4_UPC,L4_CHC,8.66,4.42,,,
L4_UPC,L4_DBC,4.53,2.57,,,
L4_UPC,L4_LBC,8.7,2.75,,,
L4_UPC,L4_MC,7.66,2.75,,,
L4_UPC,L4_NBC,7.86,3.25,,,
L4_UPC,L4_NGC,4.78,2.11,,,
L4_UPC,L4_SBC,10.5,4.93,,,
L4_UPC,L4_SSC,4.15,1.87,,,
L4_UPC,L4_TPC,5.81,2.6,,,
L4_UPC,L4_UPC,4.0,1.73,3.364,0.9791,46.95286257428667
L4_UPC,L5_BP,1.15,0.433,,,
L4_UPC,L5_BTC,6.93,4.2,,,
L4_UPC,L5_CHC,7.16,3.8,,,
L4_UPC,L5_DBC,1.17,0.511,,,
L4_UPC,L5_LBC,4.83,2.3,,,
L4_UPC,L5_MC,6.17,2.89,,,
L4_UPC,L5_NBC,4.62,2.36,,,
L4_UPC,L5_NGC,1.12,0.354,,,
L4_UPC,L5_SBC,4.47,2.92,,,
L4_UPC,L5_TPC:A,5.67,2.82,,,
L4_UPC,L5_TPC:B,6.2,3.19,,,
L4_UPC,L5_TPC:C,4.13,1.37,,,
L4_UPC,L5_UPC,4.19,1.78,,,
L4_UPC,L6_BP,1.15,0.49700000000000005,,,
L4_UPC,L6_BPC,2.65,1.1,,,
L4_UPC,L6_BTC,1.07,0.255,,,
L4_UPC,L6_CHC,1.1,0.332,,,
L4_UPC,L6_DBC,1.13,0.365,,,
L4_UPC,L6_HPC,2.64,1.01,,,
L4_UPC,L6_IPC,2.62,1.07,,,
L4_UPC,L6_LBC,1.08,0.306,,,
L4_UPC,L6_MC,1.08,0.306,,,
L4_UPC,L6_NBC,1.04,0.196,,,
L4_UPC,L6_NGC,1.08,0.366,,,
L4_UPC,L6_SBC,1.08,0.271,,,
L4_UPC,L6_TPC:A,3.53,1.82,,,
L4_UPC,L6_TPC:C,3.68,2.63,,,
L4_UPC,L6_UPC,2.74,1.21,,,
L5_BP,L1_DAC,1.39,0.591,,,
L5_BP,L1_HAC,2.43,1.18,,,
L5_BP,L1_LAC,4.5,0.5,,,
L5_BP,L1_NGC-DA,2.67,0.745,,,
L5_BP,L1_NGC-SA,3.0,0.816,,,
L5_BP,L1_SAC,2.25,0.433,,,
L5_BP,L23_BP,1.4,0.49,,,
L5_BP,L23_BTC,4.45,2.69,,,
L5_BP,L23_CHC,4.5,1.5,,,
L5_BP,L23_DBC,1.06,0.235,,,
L5_BP,L23_LBC,5.1,2.77,,,
L5_BP,L23_MC,6.14,2.53,,,
L5_BP,L23_NBC,3.83,1.61,,,
L5_BP,L23_NGC,1.0,0.0,,,
L5_BP,L23_SBC,4.15,1.39,,,
L5_BP,L2_IPC,2.6,0.872,,,
L5_BP,L2_TPC:A,1.12,0.382,,,
L5_BP,L2_TPC:B,2.26,0.879,,,
L5_BP,L3_TPC:A,4.3,1.95,,,
L5_BP,L3_TPC:C,4.33,2.6,,,
L5_BP,L4_BTC,10.8,4.9,,,
L5_BP,L4_CHC,15.0,0.0,,,
L5_BP,L4_DBC,20.0,0.0,,,
L5_BP,L4_LBC,9.11,5.47,,,
L5_BP,L4_MC,10.7,4.9,,,
L5_BP,L4_NBC,8.46,2.73,,,
L5_BP,L4_NGC,4.0,0.0,,,
L5_BP,L4_SBC,9.0,1.41,,,
L5_BP,L4_SSC,6.97,3.07,,,
L5_BP,L4_TPC,9.81,5.56,,,
L5_BP,L4_UPC,8.06,3.96,,,
L5_BP,L5_BP,1.14,0.35,,,
L5_BP,L5_BTC,9.71,3.81,,,
L5_BP,L5_CHC,6.0,1.41,,,
L5_BP,L5_DBC,1.05,0.20800000000000002,,,
L5_BP,L5_LBC,8.71,4.09,,,
L5_BP,L5_MC,9.44,5.42,,,
L5_BP,L5_NBC,9.36,4.55,,,
L5_BP,L5_NGC,4.83,0.687,,,
L5_BP,L5_SBC,10.4,5.79,,,
L5_BP,L5_TPC:A,11.3,5.5,,,
L5_BP,L5_TPC:B,13.1,6.51,,,
L5_BP,L5_TPC:C,10.7,4.74,,,
L5_BP,L5_UPC,10.8,5.55,,,
L5_BP,L6_BP,1.0,0.0,,,
L5_BP,L6_BPC,6.69,3.97,,,
L5_BP,L6_BTC,2.62,1.17,,,
L5_BP,L6_DBC,1.0,0.0,,,
L5_BP,L6_HPC,1.31,0.628,,,
L5_BP,L6_IPC,1.11,0.371,,,
L5_BP,L6_LBC,4.27,1.77,,,
L5_BP,L6_MC,4.0,1.64,,,
L5_BP,L6_NBC,3.08,1.32,,,
L5_BP,L6_NGC,1.5,0.5,,,
L5_BP,L6_SBC,5.75,1.09,,,
L5_BP,L6_TPC:A,6.42,3.07,,,
L5_BP,L6_TPC:C,7.87,3.7,,,
L5_BP,L6_UPC,6.17,2.77,,,
L5_BTC,L1_DAC,1.09,0.319,,,
L5_BTC,L1_HAC,1.1,0.45799999999999996,,,
L5_BTC,L1_LAC,1.12,0.363,,,
L5_BTC,L1_NGC-DA,2.03,0.78,,,
L5_BTC,L1_NGC-SA,1.11,0.34299999999999997,,,
L5_BTC,L1_SAC,1.06,0.237,,,
L5_BTC,L23_BP,1.06,0.28,,,
L5_BTC,L23_BTC,7.97,4.26,,,
L5_BTC,L23_CHC,6.15,2.71,,,
L5_BTC,L23_DBC,1.14,0.51,,,
L5_BTC,L23_LBC,7.82,3.44,,,
L5_BTC,L23_MC,8.11,4.29,,,
L5_BTC,L23_NBC,6.63,2.87,,,
L5_BTC,L23_NGC,2.51,1.07,,,
L5_BTC,L23_SBC,7.55,3.93,,,
L5_BTC,L2_IPC,6.34,2.45,,,
L5_BTC,L2_TPC:A,2.93,1.0,,,
L5_BTC,L2_TPC:B,5.61,2.16,,,
L5_BTC,L3_TPC:A,9.42,4.91,,,
L5_BTC,L3_TPC:C,9.17,5.03,,,
L5_BTC,L4_BP,5.61,2.29,,,
L5_BTC,L4_BTC,9.5,4.33,,,
L5_BTC,L4_CHC,10.8,4.56,,,
L5_BTC,L4_DBC,5.36,2.78,,,
L5_BTC,L4_LBC,11.0,4.19,,,
L5_BTC,L4_MC,11.3,4.11,,,
L5_BTC,L4_NBC,12.2,5.14,,,
L5_BTC,L4_NGC,6.04,2.02,,,
L5_BTC,L4_SBC,10.4,4.36,,,
L5_BTC,L4_SSC,10.3,4.09,,,
L5_BTC,L4_TPC,14.4,6.4,,,
L5_BTC,L4_UPC,12.0,6.17,,,
L5_BTC,L5_BP,1.11,0.34299999999999997,,,
L5_BTC,L5_BTC,11.3,4.88,,,
L5_BTC,L5_CHC,10.3,3.42,,,
L5_BTC,L5_DBC,3.92,2.02,,,
L5_BTC,L5_LBC,9.66,3.85,,,
L5_BTC,L5_MC,10.4,3.83,,,
L5_BTC,L5_NBC,11.1,4.98,,,
L5_BTC,L5_NGC,5.28,2.15,,,
L5_BTC,L5_SBC,10.6,4.23,,,
L5_BTC,L5_TPC:A,19.0,8.5,15.0,7.1,51.282051282051285
L5_BTC,L5_TPC:B,21.2,10.3,15.0,7.1,71.26436781609195
L5_BTC,L5_TPC:C,13.7,6.4,,,
L5_BTC,L5_UPC,14.7,7.4,,,
L5_BTC,L6_BP,1.07,0.294,,,
L5_BTC,L6_BPC,7.61,3.46,,,
L5_BTC,L6_BTC,7.4,4.06,,,
L5_BTC,L6_CHC,6.43,4.14,,,
L5_BTC,L6_DBC,1.15,0.47700000000000004,,,
L5_BTC,L6_HPC,7.93,4.55,,,
L5_BTC,L6_IPC,6.58,3.05,,,
L5_BTC,L6_LBC,6.87,2.97,,,
L5_BTC,L6_MC,6.87,3.14,,,
L5_BTC,L6_NBC,6.8,3.5,,,
L5_BTC,L6_NGC,3.0,1.33,,,
L5_BTC,L6_SBC,6.52,4.28,,,
L5_BTC,L6_TPC:A,7.24,2.85,,,
L5_BTC,L6_TPC:C,7.61,3.09,,,
L5_BTC,L6_UPC,7.14,3.83,,,
L5_CHC,L3_TPC:A,2.94,2.25,,,
L5_CHC,L3_TPC:C,3.26,2.13,,,
L5_CHC,L4_SSC,3.49,2.67,,,
L5_CHC,L4_TPC,4.56,4.75,,,
L5_CHC,L4_UPC,3.48,2.48,,,
L5_CHC,L5_TPC:A,5.65,5.08,,,
L5_CHC,L5_TPC:B,6.99,6.64,,,
L5_CHC,L5_TPC:C,6.02,6.08,,,
L5_CHC,L5_UPC,4.85,4.74,,,
L5_CHC,L6_BPC,3.45,4.18,,,
L5_CHC,L6_HPC,3.59,2.56,,,
L5_CHC,L6_IPC,3.88,4.87,,,
L5_CHC,L6_TPC:A,3.06,2.61,,,
L5_CHC,L6_TPC:C,2.48,1.6,,,
L5_CHC,L6_UPC,2.58,1.43,,,
L5_DBC,L1_DAC,4.0,1.0,,,
L5_DBC,L1_HAC,2.6,0.8,,,
L5_DBC,L1_NGC-DA,5.33,0.943,,,
L5_DBC,L1_NGC-SA,4.0,0.0,,,
L5_DBC,L1_SAC,7.0,0.0,,,
L5_DBC,L23_BP,1.5,0.5,,,
L5_DBC,L23_BTC,6.07,3.08,,,
L5_DBC,L23_CHC,8.0,1.0,,,
L5_DBC,L23_DBC,1.15,0.361,,,
L5_DBC,L23_LBC,7.24,3.72,,,
L5_DBC,L23_MC,8.04,4.66,,,
L5_DBC,L23_NBC,6.75,3.11,,,
L5_DBC,L23_NGC,3.5,0.5,,,
L5_DBC,L23_SBC,5.8,2.71,,,
L5_DBC,L2_IPC,5.18,2.22,,,
L5_DBC,L2_TPC:A,4.55,1.23,,,
L5_DBC,L2_TPC:B,5.96,2.22,,,
L5_DBC,L3_TPC:A,8.76,4.24,,,
L5_DBC,L3_TPC:C,8.91,4.29,,,
L5_DBC,L4_BP,1.14,0.35,,,
L5_DBC,L4_BTC,8.68,2.59,,,
L5_DBC,L4_CHC,10.8,7.73,,,
L5_DBC,L4_DBC,6.0,0.0,,,
L5_DBC,L4_LBC,11.0,5.86,,,
L5_DBC,L4_MC,13.8,8.05,,,
L5_DBC,L4_NBC,12.6,7.9,,,
L5_DBC,L4_NGC,22.0,13.0,,,
L5_DBC,L4_SBC,11.0,3.02,,,
L5_DBC,L4_SSC,11.6,5.23,,,
L5_DBC,L4_TPC,14.7,7.79,,,
L5_DBC,L4_UPC,12.5,6.87,,,
L5_DBC,L5_BP,1.08,0.271,,,
L5_DBC,L5_BTC,11.7,6.05,,,
L5_DBC,L5_CHC,10.0,2.68,,,
L5_DBC,L5_DBC,4.1,1.98,,,
L5_DBC,L5_LBC,11.3,4.37,,,
L5_DBC,L5_MC,13.1,5.69,,,
L5_DBC,L5_NBC,12.0,5.66,,,
L5_DBC,L5_NGC,6.31,1.57,,,
L5_DBC,L5_SBC,11.8,4.98,,,
L5_DBC,L5_TPC:A,17.5,10.1,,,
L5_DBC,L5_TPC:B,18.1,10.3,,,
L5_DBC,L5_TPC:C,14.7,5.93,,,
L5_DBC,L5_UPC,13.7,4.56,,,
L5_DBC,L6_BP,1.1,0.35100000000000003,,,
L5_DBC,L6_BPC,9.06,3.11,,,
L5_DBC,L6_BTC,9.14,3.74,,,
L5_DBC,L6_CHC,6.79,3.88,,,
L5_DBC,L6_DBC,1.08,0.271,,,
L5_DBC,L6_HPC,7.75,2.87,,,
L5_DBC,L6_IPC,8.67,3.29,,,
L5_DBC,L6_LBC,8.54,3.52,,,
L5_DBC,L6_MC,7.97,3.61,,,
L5_DBC,L6_NBC,9.06,4.3,,,
L5_DBC,L6_NGC,6.31,1.99,,,
L5_DBC,L6_SBC,8.25,3.05,,,
L5_DBC,L6_TPC:A,9.85,4.0,,,
L5_DBC,L6_TPC:C,10.3,4.16,,,
L5_DBC,L6_UPC,9.82,4.4,,,
L5_LBC,L1_DAC,2.82,1.17,,,
L5_LBC,L1_HAC,3.0,1.65,,,
L5_LBC,L1_LAC,4.0,1.35,,,
L5_LBC,L1_NGC-DA,5.12,2.54,,,
L5_LBC,L1_NGC-SA,4.6,2.2,,,
L5_LBC,L1_SAC,2.79,1.24,,,
L5_LBC,L23_BP,1.1,0.306,,,
L5_LBC,L23_BTC,8.23,5.02,,,
L5_LBC,L23_CHC,7.28,2.73,,,
L5_LBC,L23_DBC,1.06,0.237,,,
L5_LBC,L23_LBC,8.43,3.76,,,
L5_LBC,L23_MC,8.55,4.34,,,
L5_LBC,L23_NBC,7.76,3.14,,,
L5_LBC,L23_NGC,3.74,1.09,,,
L5_LBC,L23_SBC,7.49,3.46,,,
L5_LBC,L2_IPC,8.03,3.76,,,
L5_LBC,L2_TPC:A,5.8,2.29,,,
L5_LBC,L2_TPC:B,7.13,3.62,,,
L5_LBC,L3_TPC:A,10.4,5.59,,,
L5_LBC,L3_TPC:C,8.75,3.52,,,
L5_LBC,L4_BP,3.48,1.94,,,
L5_LBC,L4_BTC,10.8,4.22,,,
L5_LBC,L4_CHC,11.8,5.31,,,
L5_LBC,L4_DBC,5.69,2.19,,,
L5_LBC,L4_LBC,13.2,6.89,,,
L5_LBC,L4_MC,15.0,6.75,,,
L5_LBC,L4_NBC,12.8,5.27,,,
L5_LBC,L4_NGC,7.27,2.71,,,
L5_LBC,L4_SBC,13.1,4.94,,,
L5_LBC,L4_SSC,10.8,3.59,,,
L5_LBC,L4_TPC,13.5,6.69,,,
L5_LBC,L4_UPC,11.9,5.07,,,
L5_LBC,L5_BP,1.09,0.349,,,
L5_LBC,L5_BTC,13.6,6.11,,,
L5_LBC,L5_CHC,11.6,3.72,,,
L5_LBC,L5_DBC,5.32,1.91,,,
L5_LBC,L5_LBC,12.1,4.6,,,
L5_LBC,L5_MC,13.9,5.97,,,
L5_LBC,L5_NBC,13.3,5.42,,,
L5_LBC,L5_NGC,6.83,2.96,,,
L5_LBC,L5_SBC,13.4,4.57,,,
L5_LBC,L5_TPC:A,18.6,9.29,,,
L5_LBC,L5_TPC:B,21.6,8.86,,,
L5_LBC,L5_TPC:C,16.7,6.27,,,
L5_LBC,L5_UPC,16.3,6.07,,,
L5_LBC,L6_BP,1.13,0.391,,,
L5_LBC,L6_BPC,9.1,5.38,,,
L5_LBC,L6_BTC,9.17,3.24,,,
L5_LBC,L6_CHC,7.63,3.32,,,
L5_LBC,L6_DBC,1.13,0.391,,,
L5_LBC,L6_HPC,9.05,4.3,,,
L5_LBC,L6_IPC,8.15,3.72,,,
L5_LBC,L6_LBC,8.28,4.31,,,
L5_LBC,L6_MC,9.01,3.75,,,
L5_LBC,L6_NBC,7.71,3.32,,,
L5_LBC,L6_NGC,4.32,1.85,,,
L5_LBC,L6_SBC,7.08,3.36,,,
L5_LBC,L6_TPC:A,9.87,5.08,,,
L5_LBC,L6_TPC:C,8.86,3.65,,,
L5_LBC,L6_UPC,10.3,5.54,,,
L5_MC,L1_DAC,6.41,2.08,,,
L5_MC,L1_HAC,7.41,3.11,,,
L5_MC,L1_LAC,8.01,3.81,,,
L5_MC,L1_NGC-DA,8.17,3.95,,,
L5_MC,L1_NGC-SA,7.61,3.07,,,
L5_MC,L1_SAC,6.96,2.64,,,
L5_MC,L23_BP,1.11,0.34299999999999997,,,
L5_MC,L23_BTC,8.35,3.24,,,
L5_MC,L23_CHC,10.6,5.11,,,
L5_MC,L23_DBC,1.15,0.433,,,
L5_MC,L23_LBC,10.4,4.46,,,
L5_MC,L23_MC,9.48,4.27,,,
L5_MC,L23_NBC,9.04,3.62,,,
L5_MC,L23_NGC,5.22,2.36,,,
L5_MC,L23_SBC,7.97,3.86,,,
L5_MC,L2_IPC,11.7,5.79,,,
L5_MC,L2_TPC:A,9.25,4.18,,,
